"gt.zoo","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
1,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
1,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
4,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
1,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0
7,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0
2,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
2,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1
6,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
5,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0
5,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0
1,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
1,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1
6,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
1,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1
2,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
4,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0
2,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
6,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0
6,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
2,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0
6,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0
2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
7,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
1,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
6,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
5,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0
7,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
2,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1
2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
2,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1
2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
3,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
1,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
2,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1
7,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0
4,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1
1,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1
3,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0
7,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
2,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
2,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
3,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
1,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0
7,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0
4,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1
2,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1
6,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
5,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0
3,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1
3,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0
4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
1,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0
2,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1
1,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
6,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
